Date,TCS,Infosys,HCL,Wirpo
2017,1197,484,416,188
2017,1210,484,417,191
2017,1211,477,417,189
2017,1215,491,425,192
2017,1200,500,427,193
2017,1201,498,425,191
2017,1206,504,433,190
2017,1216,511,437,193
2017,1221,513,438,193
2017,1222,516,439,192
2017,1215,518,430,190
2017,1206,514,426,189
2017,1214,516,437,192
2017,1230,520,438,191
2017,1239,514,436,188
2017,1243,516,430,187
2017,1240,511,432,187
2017,1263,520,433,189
2017,1260,514,428,188
2017,1249,506,421,186
2017,1284,517,427,188
2017,1271,511,423,183
2017,1260,506,422,182
2017,1256,504,424,186
2017,1250,510,429,186
2017,1236,517,428,184
2017,1247,516,426,185
2017,1251,512,422,184
2017,1240,513,425,183
2017,1233,506,420,183
2017,1245,506,420,184
2017,1241,504,421,182
2017,1206,495,417,178
2017,1233,507,426,178
2017,1251,505,422,178
2017,1204,500,420,178
2017,1224,506,423,180
2017,1207,491,415,178
2017,1203,494,416,179
2017,1207,492,414,178
2017,1199,484,414,176
2017,1159,473,410,175
2017,1135,468,404,173
2017,1122,471,408,172
2017,1120,468,412,173
2017,1116,468,415,172
2017,1104,468,414,171
2017,1084,458,407,171
2017,1115,464,406,172
2017,1166,475,420,175
2017,1179,471,422,175
2017,1177,468,421,178
2017,1159,473,424,181
2017,1153,476,429,180
2017,1143,474,419,179
2017,1146,479,422,180
2017,1148,475,422,181
2017,1139,478,419,181
2017,1129,478,415,182
2017,1125,488,425,182
2017,1172,500,424,181
2017,1162,485,417,179
2017,1158,485,419,179
2017,1152,485,419,177
2017,1141,486,407,176
